Level,Year of Experience,Programming Language,Requirement Language,Description Language,Location
1.0,3.0,java,tiếng anh,vi,Hà Nội
1.0,3.0,Khác,tiếng anh,en,Hồ Chí Minh
3.0,3.0,Khác,Không yêu cầu,vi,Hà Nội
2.0,4.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,4.0,javascript,Không yêu cầu,vi,Hà Nội
1.0,4.0,typescript,Không yêu cầu,vi,Hà Nội
1.0,4.0,php,Không yêu cầu,vi,Hà Nội
1.0,3.0,Khác,Không yêu cầu,vi,Hà Nội
0.0,0.0,Khác,tiếng anh,vi,Hồ Chí Minh
1.0,3.0,Khác,tiếng anh,vi,Hà Nội
1.0,0.0,Khác,Không yêu cầu,vi,Hồ Chí Minh
1.0,3.0,java,tiếng anh,vi,Hà Nội
1.0,4.0,javascript,Không yêu cầu,en,Đà Nẵng
1.0,0.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,3.0,java,Không yêu cầu,vi,Hà Nội
1.0,3.0,Khác,tiếng anh,vi,Hà Nội
1.0,2.0,Khác,tiếng nhật,vi,Hà Nội
1.0,1.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,0.0,Khác,tiếng anh,vi,Hà Nội
1.0,4.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,0.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,6.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,2.0,Khác,tiếng anh,vi,Hà Nội
1.0,2.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,0.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,2.0,Khác,Không yêu cầu,vi,Hồ Chí Minh
1.0,2.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,2.0,Khác,tiếng nhật,vi,Hà Nội
3.0,6.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,3.0,Khác,tiếng anh,vi,Hà Nội
1.0,2.0,typescript,Không yêu cầu,vi,Hồ Chí Minh
1.0,3.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,0.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,0.0,Khác,Không yêu cầu,vi,Khác
1.0,2.0,kotlin,tiếng anh,vi,Hà Nội
1.0,2.0,java,tiếng anh,vi,Hà Nội
2.0,2.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,3.0,Khác,Không yêu cầu,vi,Khác
1.0,4.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,3.0,Khác,Không yêu cầu,vi,Hà Nội
1.0,3.0,javascript,Không yêu cầu,vi,Hà Nội
