,Title,Link,Company,Size company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
0,Senior Php Developer,https://www.topcv.vn/viec-lam/senior-php-developer/1323191.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GBG GROUP SERVICES,25-99 nhân viên,Tới 60 triệu,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"3+ Years of experience in PHP, MySQL.
Able to learn and adjust to an existing code.
Core PHP, code PHP thuần
Understanding of working with GIT.
Know how to work with JIRA.
Good at analyzing and problem-solving skills
Nice to have Linux, IT and Web Server Management (Optional).
English: Fluent."
1,"Nhân Viên Chăm Sóc Khách Hàng - Customer Service [Fulltime Ca Đêm, English]",https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-customer-service-fulltime-ca-dem-english/1255582.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH IDENTALSOFT VIỆT NAM,25-99 nhân viên,10 - 20 triệu,Hồ Chí Minh,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,"- Thành thạo English để nghe và nói chuyện với người Mỹ (yêu cầu bắt buộc);
- Có khả năng và chấp nhận làm ca đêm, đã có kinh nghiệm làm ca đêm là lợi thế (yêu cầu bắt buộc phải làm ca đêm);
- Có kiến thức căn bản về các phần mềm văn phòng, Microsoft Office;
- Có kinh nghiệm làm Chăm sóc khách hàng các lĩnh vực khác, nếu thuộc lĩnh vực công nghệ thì càng tốt;
- Có kinh nghiệm lĩnh vực IT/CNTT như MAC, Database/SQL, Network or Dental environtment là lợi thế;
- Tốt nghiệp Cao đẳng/Đại học các lĩnh vực, các ngành nghề khác nhau đều được chấp nhận;
- Tốt nghiệp Cao đẳng/Đại học các ngành CNTT, IT, Software, Engineer, Engineer Managment, Technology,... là lợi thế"
2,Quản Lý Dự Án IT - Long Sơn Petro,https://www.topcv.vn/viec-lam/quan-ly-du-an-it-long-son-petro/1233273.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,10-24 nhân viên,25 - 30 triệu,Bà Rịa-Vũng Tàu,Quản lý / Giám sát,3 năm,Toàn thời gian,Không yêu cầu,"Tiếng Anh (bắt buộc)Sẵn sàng hỗ trợ đồng nghiệp trong công việc.Chủ động thực hiện các công việc được giao, đưa ra phương án thực hiện công việc, báo cáo kết quả công việc rõ ràng.Sẵn sàng làm các công việc giao hàng, lắp đặt trong quá trình triển khai, hoặc một số công việc ngoài chuyên môn.Sẵn sàng làm việc dài ngày tại công ty của khách hàng.Chịu được áp lực công việc cao.Có kinh nghiệm ở vị trí Quản lý từ 3 năm kinh nghiệm.Độ tưởi: từ 27 tuổi đến 35 tuổi. KỸ NĂNG CỨNG (Có nền tảng):
• Có kiến thức lắp đặt, cấu hình và vận hành các phần cứng Server, Storage, Tape Backup, UPS...
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ thống ảo hóa: VMware, HyperV, Citrix
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ điều hành Windows Server.
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ điều hành Linux.
• Có kiến thức cài đặt, cấu hình, vận hành và sử lý sự cố trên các hệ thống trên nền hệ điều hành của Microsoft như: Active Directory, MS Exchange, File, DNS, DHCP, SQL,...
• Có kiến thức vận hành hệ thống VEEAM backup
• Hiểu biết cơ bản về thiết bị mạng
• Hiểu biết cơ bản về bảo mật hệ thống.
KỸ NĂNG MỀM:
• Kỹ năng viết và trình bày tài liệu kỹ thuật rõ ràng, mạch lạc.
• Tư duy có hệ thống và khả năng chủ động tổ chức, sắp xếp công việc.
• Làm việc theo nhóm.
• Trình bày thuyết trình."
3,Lập Trình Viên SQL,https://www.topcv.vn/viec-lam/lap-trinh-vien-sql/1279810.html?ta_source=ITJobs_LinkDetail,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Trình độ chuyên môn: Tốt nghiệp Đại học hệ chính quy chuyên ngành Công nghệ thông tin, Tin học.- Có kinh nghiệm làm việc trong lĩnh vực quản trị cơ sở dữ liệu.- Thành thạo ngôn ngữ SQL và PL/SQL.- Sử dụng tốt tiếng Anh trong công việc.- Ưu tiên các ứng viên: + Có chứng chỉ quốc tế về các sản phẩm, công nghệ liên quan đến Quản trị Cơ sở dữ liệu Oracle. + Có kinh nghiệm quản trị các cơ sở dữ liệu Oracle, MS SQL Server, quản trị Middleware: Oracle Weblogic Server, Oracle Application Server, IBM – WebSphere Application Server. + Có kinh nghiệm về Oracle Rac và Performance Turning Database. + Có kinh nghiệm triển khai ứng dụng CNTT trên các máy chủ chạy hệ điều hành: Unix (Solaris, HP_UX, Linux) và Windows Server + Có kinh nghiệm làm việc tại các công ty trong lĩnh vực bảo hiểm, ngân hàng, tài chính."
4,Nhân Viên Tester (Ba/ QC/ Tester),https://www.topcv.vn/viec-lam/nhan-vien-tester-ba-qc-tester/1279780.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,25-99 nhân viên,12 - 18 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học chuyên ngành CNTT.
- Skills yêu cầu
+ Kinh nghiệm test ít nhất 1 năm
+ Có khả năng lên Testcase
+ Có khả năng test qua API
- Skill lợi thế
+ Ưu tiên đã từng triển khai dự án phần mềm chứng khoán, có kinh nghiệm về lĩnh vực chứng khoán
+ Có chứng chỉ ISTQB"
5,Digital Designer - Làm Việc Tại Quận 7 - Lương Up To $1300,https://www.topcv.vn/viec-lam/digital-designer-lam-viec-tai-quan-7-luong-up-to-1300/1323141.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GBG GROUP SERVICES,25-99 nhân viên,"Tới 1,300 USD",Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"=> English is a very big bonus point- Strong proficiency in graphic design software such as Adobe Photoshop, Illustrator, or similar tools.
- Proficiency in video editing software such as Adobe Premiere Pro, Final Cut Pro, or similar tools.
- Sound editing skills to enhance video quality with appropriate sound effects and background music.
- Creativity and a keen eye for visual design, color, and typography.
- Strong portfolio showcasing previous web design, graphic design, and video editing work.
- Ability to work collaboratively in a team environment and effectively communicate design ideas.
- Good time management skills to meet project deadlines and manage multiple tasks concurrently."
6,Senior Data Engineer Yêu Cầu Ứng Viên Có Kinh Nghiệm,https://www.topcv.vn/viec-lam/senior-data-engineer-yeu-cau-ung-vien-co-kinh-nghiem/1157236.html?ta_source=ITJobs_LinkDetail,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN,25-99 nhân viên,Thoả thuận,Hà Nội,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,"Có ít nhất 05 năm kinh nghiệm ở vị trí Data Engineer hoặc các vị trí tương đương. Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với hệ thống Data warehouseAm hiểu các hệ điều hành và các loại cơ sở dữ liệu khác nhau. Có kinh nghiệm làm việc với Hadoop Eco System là lợi thếNắm được cách thiết kế Data warehouse theo chuẩn KimballThành thạo viết truy vấn và tối ưu câu lệnh SQLHiểu biết và nắm vững quy trình phát triển hệ thốngSử dụng thành thạo các công cụ: Jira, Git, Xshell, SSMS, MySQL Workbench, DataGrip, ..Có khả năng làm việc độc lập và làm việc nhómCó khả năng tư duy và giải quyết vấn đềCó khả năng nghiên cứu và tự học hỏiYêu thích tìm hiểu công nghệ, cập nhật xu hướng công nghệ mới và có khả năng phân tích ứng dụng công nghệ trong các bài toán cụ thể"
7,Tester,https://www.topcv.vn/viec-lam/tester/1283361.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH DỊCH VỤ DU LỊCH NGÔI NHÀ PHƯƠNG NAM,25-99 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Bằng cử nhân về Khoa học Máy tính hoặc các ngành liên quan khác - Ít nhất 2 năm kinh nghiệm trong mảng kiểm thử hệ thống. - Biết ít nhất 1 ngôn ngữ lập trình gần đây như: Python, Java, Golang,... là một lợi thế - Nẵm vững kỹ thuật và có khả năng kiểm thử các hệ thống phức tạp một cách độc lập. - Khả năng tư duy logic và phân tích để giải quyết các vấn đề kỹ thuật khác nhau. - Có trách nhiệm và tinh thần đồng đội cao. Chủ động phân tích các vấn đề và phát triển các biện pháp để giải quyết các vấn đề gặp phải. - Hiểu biết ít nhất một Framework API/Unittest - Có khả năng đánh giá về tình trạng dự án, đưa ra quyết định Golive và deadline của kế hoạch. - Ý thức tốt về chất lượng, tinh thần đồng đội và sự đổi mới - Có thể làm việc độc lập"
8,Nhân Viên Tester,https://www.topcv.vn/viec-lam/nhan-vien-tester/1324627.html?ta_source=ITJobs_LinkDetail,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,10 - 25 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Có ít nhất 01 năm kinh nghiệm làm việc tại vị trí tương đương.- Tốt nghiệp Đại học ngành CNTT, Toán tin, Điện tử viễn thông.- Sử dụng thành thạo các công cụ test và quản lý lỗi.- Hiểu biết về quy trình Test, chiến lược và kỹ thuật test phần mềm... lập tài liệu test tốt.- Chủ động, sáng tạo, nhiệt tình, trách nhiệm trong công việc, có tư duy logic tốt.- Cẩn thận, tỉ mỉ, cần cù, nhanh nhẹn, sức khỏe tốt, có khả năng làm việc độc lập hoặc nhóm với cường độ cao.- Sẵn sàng làm thêm giờ khi có yêu cầu.- Kỹ năng giao tiếp tốt, có khả năng quản lý thời gian.- Ưu tiên: + Các ứng viên đã làm việc theo quy trình phần mềm, có hiểu biết về hệ thống kiểm soát chất lượng phần mềm, QA, QC. + Các ứng viên có kinh nghiệm test ứng dụng trên Mobile, web. + Có kỹ năng đọc/viết tài liệu kỹ thuật bằng tiếng Anh."
9,Chuyên Viên Kỹ Thuật Mạng (Network Engineer),https://www.topcv.vn/viec-lam/chuyen-vien-ky-thuat-mang-network-engineer/1324023.html?ta_source=ITJobs_LinkDetail,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Nam,"- Tốt nghiệp Cao Đẳng, Đại Học chuyên ngành Công nghệ thông tin, Công nghệ phần mềm, Điện tử viễn thông,...
- Có ít nhất 02 năm kinh nghiệm ở vị trí tương đương.
- Có kiến thức về Network và Security tương đương với chứng chỉ CCNP / JNCIP hoặc cao hơn
Routing & switching : L3-VPN ; L2-VPN; BGP; EVPN ; OSPF ; IS-IS; FBF (Filter based forwarding) / PBR (Poliicy based routing); VLAN / VXLAN ; STP ; MPLS ; QoS ; Load-balancing
Security: Layer3 / Layer4 security ; Firewall rule; có kiến thức về IPS/IDS
- Hiểu rõ về mô hình OSI / TCP IP
- Có kỹ năng phân tích và giải quyết sự cố; tối ưu hệ thống ; sử dụng thành thạo các công cụ bổ trợ như Sniffer / Wireshark ...
- Có kinh nghiệm hoặc khả năng nghiên cứu các hệ thống mạng SDN, đã từng làm Openstack, Juniper Contrail, Openvswitch hoặc tương đương. Ưu tiên ứng viên vận hành thiết bị Juniper.
- Có tinh thần trách nhiệm cao trong công việc. Thích nghiên cứu, tìm tòi học hỏi.
- Có thể đi công tác và chịu được áp lực cao trong công việc"
