Salary,Level,Year of Experience,Programming Language,Requirement Language,Description Language,Location,Cluster
8500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hồ Chí Minh,2
12000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
10500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,1 năm,typescript,Không yêu cầu,vi,Hồ Chí Minh,2
40000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
9000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
16500000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
18000000.0,Nhân viên,Dưới 1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,Không yêu cầu kinh nghiệm,python,Không yêu cầu,vi,Hồ Chí Minh,2
12000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
17500000.0,Trưởng nhóm,2 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
19000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
13500000.0,Trưởng nhóm,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
13500000.0,Nhân viên,1 năm,c#,tiếng anh,vi,Hồ Chí Minh,2
12000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
2000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,1 năm,c#,tiếng anh,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
13500000.0,Nhân viên,1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
31000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
23000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
16000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
34500000.0,Nhân viên,Trên 5 năm,c#,tiếng anh,vi,Hồ Chí Minh,2
34500000.0,Nhân viên,Trên 5 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
34500000.0,Nhân viên,Trên 5 năm,java,tiếng anh,vi,Hồ Chí Minh,2
14000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
30800000.0,Nhân viên,3 năm,java,tiếng anh,vi,Hồ Chí Minh,2
28500000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
25000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
3500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,c#,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
11000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
11000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
20500000.0,Nhân viên,3 năm,c++,Không yêu cầu,vi,Hồ Chí Minh,2
20500000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
20500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,Dưới 1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
11000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
11000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
14000000.0,Trưởng nhóm,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,python,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
13500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
2250000.0,Thực tập sinh,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
10500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
