Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
20500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,typescript,Không yêu cầu,vi,Hà Nội,4
20500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
20500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
20500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
25000000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,4
20000000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
13500000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,4
13500000.0,Nhân viên,1 năm,kotlin,tiếng anh,vi,Hà Nội,4
24000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hà Nội,4
24000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,php,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
7000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,javascript,tiếng anh,vi,Hà Nội,4
30000000.0,Nhân viên,1 năm,c#,tiếng anh,vi,Hà Nội,4
40000000.0,Nhân viên,1 năm,python,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
25000000.0,Quản lý / Giám sát,1 năm,Khác,tiếng anh,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
29900000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
29900000.0,Nhân viên,2 năm,javascript,tiếng anh,vi,Hà Nội,4
12000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
