Salary,Level,Year of Experience,Programming Language,Requirement Language,Description Language,Location,Cluster
20500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,1
36500000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,2
22500000.0,Trưởng/Phó phòng,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
22500000.0,Trưởng nhóm,3 năm,Khác,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,3 năm,typescript,Không yêu cầu,vi,Hà Nội,2
30000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hà Nội,1
12000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
8500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hồ Chí Minh,0
20500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,1
12000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,0
20500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,1
30000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,en,Đà Nẵng,2
7000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hà Nội,1
20500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,1
25000000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,1
8500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
8500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
30000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,1
7500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
21500000.0,Nhân viên,5 năm,Khác,Không yêu cầu,vi,Hà Nội,1
12500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,1
21000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
4250000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
10500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,1
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
20000000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,1
35000000.0,Trưởng/Phó phòng,5 năm,Khác,Không yêu cầu,vi,Hà Nội,1
15000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,1
15000000.0,Nhân viên,1 năm,typescript,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
8500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,0
13500000.0,Nhân viên,1 năm,kotlin,tiếng anh,vi,Hà Nội,1
13500000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,1
17500000.0,Trưởng nhóm,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
9000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Khác,1
40000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,1
12500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
24000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hà Nội,1
24000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,1
13500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
40000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
20000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
27500000.0,Nhân viên,1 năm,c++,Không yêu cầu,vi,Hà Nội,1
27500000.0,Nhân viên,1 năm,c,Không yêu cầu,vi,Hà Nội,1
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
6800000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
19500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,1
9000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,1
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,c++,Không yêu cầu,vi,Hà Nội,1
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,php,Không yêu cầu,vi,Hà Nội,1
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,java,Không yêu cầu,vi,Hà Nội,1
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,javascript,Không yêu cầu,vi,Hà Nội,0
21500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,en,Hà Nội,1
26450000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,1
23000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,en,Hồ Chí Minh,2
10500000.0,Nhân viên,Dưới 1 năm,Khác,tiếng anh,vi,Hà Nội,1
23500000.0,Quản lý / Giám sát,2 năm,Khác,Không yêu cầu,vi,Hà Nội,2
17500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
25300000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,0
21500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
16500000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,1
25000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,1
25000000.0,Nhân viên,1 năm,java,Không yêu cầu,vi,Hà Nội,1
15000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,1
20000000.0,Trưởng nhóm,2 năm,python,Không yêu cầu,en,Khác,2
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,1
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
7000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,javascript,tiếng anh,vi,Hà Nội,0
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,2
14000000.0,Trưởng nhóm,3 năm,Khác,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,1 năm,c#,tiếng anh,vi,Hà Nội,1
18000000.0,Nhân viên,Dưới 1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,1
40000000.0,Nhân viên,1 năm,c++,Không yêu cầu,vi,Hà Nội,1
40000000.0,Nhân viên,1 năm,python,Không yêu cầu,vi,Hà Nội,1
40000000.0,Nhân viên,1 năm,c#,Không yêu cầu,vi,Hà Nội,1
40000000.0,Nhân viên,1 năm,c,Không yêu cầu,vi,Hà Nội,1
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
17500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,2 năm,c++,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,2 năm,c,Không yêu cầu,vi,Hà Nội,1
30000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hà Nội,1
27000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,en,Hồ Chí Minh,2
25000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,1
25000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,1
20000000.0,Quản lý / Giám sát,3 năm,Khác,Không yêu cầu,vi,Hà Nội,2
25000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,1
11500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
25000000.0,Quản lý / Giám sát,1 năm,Khác,tiếng anh,vi,Hà Nội,2
17500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
25000000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,2
25000000.0,Nhân viên,3 năm,c,Không yêu cầu,vi,Hà Nội,1
25000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,1
16000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
12500000.0,Nhân viên,1 năm,c#,Không yêu cầu,vi,Hà Nội,1
27600000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hà Nội,2
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,0
11500000.0,Nhân viên,Dưới 1 năm,Khác,tiếng anh,en,Hà Nội,1
40000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hà Nội,2
29900000.0,Nhân viên,2 năm,javascript,tiếng anh,vi,Hà Nội,1
29900000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,1
12500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,1
17500000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,1
12000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,1
