Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
20500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
36500000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
22500000.0,Trưởng/Phó phòng,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
22500000.0,Trưởng nhóm,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,typescript,Không yêu cầu,vi,Hà Nội,4
12000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
8500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hồ Chí Minh,2
20500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
12000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
20500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,en,Đà Nẵng,3
7000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hà Nội,0
20500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
25000000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,4
8500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
8500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
30000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
7500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
21500000.0,Nhân viên,5 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,0
21000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
4250000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
10500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
20000000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,4
35000000.0,Trưởng/Phó phòng,5 năm,Khác,Không yêu cầu,vi,Hà Nội,0
15000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,1 năm,typescript,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
8500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,5
13500000.0,Nhân viên,1 năm,kotlin,tiếng anh,vi,Hà Nội,4
13500000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,4
17500000.0,Trưởng nhóm,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
9000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Khác,5
40000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
24000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hà Nội,4
24000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
13500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
40000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
20000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
