Title,Link,Company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
Nhân Viên Xử Lý Dữ Liệu Tiếng Nhật (Tiếng Nhật N3),https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-du-lieu-tieng-nhat-tieng-nhat-n3/1286664.html?ta_source=ITJobs_LinkDetail,CHI NHÁNH CÔNG TY TNHH PASONA TECH VIỆT NAM TẠI HÀ NỘI,Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học, cao đẳng.
- Tiếng Nhật tương đương N3.
- Thành thạo tin học văn phòng, đặc biệt là Excel, Word.
- Có khả năng giao tiếp tốt, nhanh nhẹn, chăm chỉ và ham học hỏi.
- Yêu thích làm việc trong môi trường công ty Nhật Bản."
Java Core Backend Developer -Lương Từ 16 - 25 Triệu,https://www.topcv.vn/brand/congnghiepvienthongquandoi/tuyen-dung/java-core-backend-developer-luong-tu-16-25-trieu-j1289408.html?ta_source=ITJobs_LinkDetail,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,16 - 25 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"1. Trình độ: Tốt nghiệp đại học loại khá trở lên các ngành Công nghệ thông tin, Kỹ thuật phần mềm hoặc các ngành liên quan2. Trình độ tiếng Anh: chứng chỉ TOEIC, TOEFL hoặc IELTS tương đương với điểm TOEIC – 550 điểm trở lên.3. Kinh nghiệm: Có trên 1 năm kinh nghiệm về thiết kế, phát triển và triển khai hệ thống phần mềm sử dụng ngôn ngữ lập trình Java core4. Kỹ năng- Có khả năng phát triển 1 ứng dụng hoàn chỉnh bằng ngôn ngữ lập trình Java core, framework spring boot- Có khả năng tối ưu hiệu năng dựa trên hiểu biết sâu về ngôn ngữ lập trình Java- Có kiến thức chuyên sâu về phân tích thiết kế hệ thống, thành thạo các công cụ thiết kế như UML, ER studio,...- Có kiến thức về Database design & query, query tuning. Sử dụng được các loại DB: redis, elasticsearch, mongo, mariadb- Có kiến thức về cơ chế xác thực, mã hóa dữ liệu, cơ chế xử lý tuần tự, song song, đa luồng, đa tiến trình- Có khả năng triển khai trên các nền tảng khác nhau: Linux, Windows, K8S/Docker- Có hiểu biết và áp dụng thành thục quy trình phát triển phần mềm bằng phương pháp Agile; phương pháp phát triển và tích hợp liên tục (CI/CD)."
"QC Tester/Manual Tester Tiếng Anh Cơ Bản - Lương Upto 45M, Tại Phú Nhuận",https://www.topcv.vn/viec-lam/qc-tester-manual-tester-tieng-anh-co-ban-luong-upto-45m-tai-phu-nhuan/1287905.html?ta_source=ITJobs_LinkDetail,Công Ty TNHH Mediastep Software Việt Nam,30 - 43 triệu,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Good at English.At least 2 years hands-on experience as a manual QC. Solid knowledge of functional, integration and regression testing. Knowledge of API, performance and security testing is a plus.Dynamic, proactive and high team spirit in a dynamic environment with international colleagues and in a continuous integration/delivery process.Willing to learn, ready to ask team members and clients proactively about issues or problems.Have in-depth understanding of the project and life cycle of testing, phase testing objectives, acceptance criteria and risk-based approaches to testing.Ability to manage and prioritize multiple, diverse features simultaneously.Carefulness, Strong logical thinking and analytical skills.Good at Time management."
Trưởng Phòng Kỹ Thuật Giải Pháp Lương + Thưởng Thu Nhập Hấp Dẫn,https://www.topcv.vn/viec-lam/truong-phong-ky-thuat-giai-phap-luong-thuong-thu-nhap-hap-dan/1266181.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP THÔNG MINH,15 - 30 triệu,Hà Nội,Trưởng/Phó phòng,2 năm,Toàn thời gian,Không yêu cầu,"- Nam Tốt nghiệp Đại học chuyên ngành CNTT.
- Có từ 2 năm kinh nghiệm trở lên với công việc tương đương.
- Tuổi từ 24 đến 36, có thể đi công tác nếu có yêu cầu.
- Sử dụng thành thạo AutoCAD, Internet, tin học văn phòng ...- Có khả năng thuyết trình, huấn luyện công việc tốt."
Tester Leader/Trưởng Nhóm Kiểm Thử - Lương Up To 25M,https://www.topcv.vn/viec-lam/tester-leader-truong-nhom-kiem-thu-luong-up-to-25m/1283961.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH FIVE-STAR E-LEARNING,20 - 25 triệu,Hà Nội,Trưởng nhóm,3 năm,Toàn thời gian,Không yêu cầu,"Có ít nhất 3 năm kinh nghiệm Test phần mềm các dự ánCó kinh nghiệm ít nhất 1 năm kinh nghiệm Test leaderTốt nghiệp ĐH chuyên ngành CNTT, toán tin ứng dụng, phần mềm, ...Thành thạo kiến thức, kỹ thuật, kỹ năng Test : Hiểu biết về các Test process, Test Level, Test Types và các kỹ thuật kiểm thử phần mềmCó khả năng đọc hiểu, phân tích tốtCó khả năng giao tiếp tốtCó khả năng dẫn dắt, tạo động lực cho member;Có khả năng thích ứng nhanh, liên tục cải tiến."
Lập Trình Viên Web Full Stack,https://www.topcv.vn/viec-lam/lap-trinh-vien-web-full-stack/1198591.html?ta_source=ITJobs_LinkDetail,Công ty Cổ Phần Symper Việt Nam,25 - 35 triệu,Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"- Có kiến thức tốt về OOP, Clean architecture, ưu tiên có hiểu biết về các design patterns- Có trên 1 năm kinh nghiệm Golang hoặc PHP- Có trên 1 năm kinh nghiệm với lập trình front-end, thành thạo HTML, CSS, Javascript hoặc Typescript. Đã sử dụng một trong các Framework Vuejs, Angular, React- Có kinh nghiệm trong việc phân tích, thiết kế, tối ưu code- Có kinh nghiệm trong việc phân tích, thiết kế, tối ưu hệ thống- Có kinh nghiệm trong việc phân tích, thiết kế, tối ưu DB- Ứng viên có kinh nghiệm quản lý nhóm, đào tạo các thành viên khác trong nhóm là 1 lợi thế- Ưu tiên ứng viên có kinh nghiệm triển khai hoặc sử dụng Scrum trong quá trình làm việc- Ưu tiên ứng viên có kinh nghiệm làm việc trong công ty product với các techstack phức tạp (outsource ít ưu tiên hơn)"
Nhân Viên SEO Website,https://www.topcv.vn/viec-lam/nhan-vien-seo-website/949616.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CATI VIỆT NAM,9 - 15 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Sử dụng thành thạo các công cụ phân tích dữ liệu của Google/SEO.Ưu tiên tốt nghiệp các ngành học liên quan đến Marketing, công nghệ thông tin, truyền thông.Ưu tiên ứng viên đã hoàn thành khóa học về SEO và có kinh nghiệm SEO trên 2 năm."
Software Developer (C/C++),https://www.topcv.vn/viec-lam/software-developer-c-c/1282162.html?ta_source=ITJobs_LinkDetail,Công ty TNHH Shinhan DS Việt Nam,Thoả thuận,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"From 3 years of experience in Software Development/Embedded DevelopmentProficiency in C/C++ based on Unix, Linux.Familiar with SQL/Oracle.Good to have: Pro C and Finance & Banking field.Good problem-solving & communication skills.Detail-oriented, proactive, and fast learner.Can communicate in English."
Technology Young Talent – Khối Công Nghệ Thông Tin,https://www.topcv.vn/viec-lam/technology-young-talent-khoi-cong-nghe-thong-tin/1289492.html?ta_source=ITJobs_LinkDetail,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"Sinh viên năm cuối, mới tốt nghiệp Đại học hoặc dưới 2 năm kinh nghiệm làm việc. Tốt nghiệp loại Giỏi trở lên từ các trường ĐH trong và ngoài nước (ưu tiên các trường ĐH top đầu) với chuyên ngành Toán tin/Toán ứng dụng/Tin học/CNTT/Khoa học máy tính/Dữ liệu/Điện tử viễn thông/Ngân hàng/Kinh tế Quốc dân/Ngoại thương. Tham gia Chương trình VPBank Hackathon 2024 (Ưu tiên các thành viên có thành tích cao từ cuộc thi)Vượt qua bài test nghiệp vụ đầu vào dành cho đối tượng Young Talents.Ưu tiên các ứng viên có thành tích cao trong các kỳ thi học thuật trong nước và Quốc tế hoặc Đạt các Chứng chỉ nghề nghiệp chuyên môn đặc thù về nghiệp vụ CNTT (CCNP, CCIE, Juniper, CheckPoint, F5, Fortigate, Citrix, ITL, ITSM, TOGAF, CISSP, CISM, PMP) hoặc ngôn ngữ phát triển CNTT cập nhật (Node.js, Python, Go, Java, pattern design, TCP/IP, Database,AI, ML), kỹ năng/Công nghệ thuộc xu thế (Network, WAN, SDWAN, LAN, ATM/CDM, DC/CR SQL, Oracle, Database, Cloud, Azure, GCP: EC2,EKS, ECS, RDS, Container, D/DNS, O365/Microsoft Exchange, PowerBI, VBA powershell, web/app java, devops, Embedding, Vector Store, LLM model, finetune, pretrain model như GPT, Bard, Vietnamese model... huggingface). Kỹ năng giao tiếp tốt, tư duy logic tốt, có khả năng học hỏi nhanh, sáng tạo, có thói quen nghiên cứu tài liệu, cập nhật thông tin và xu thế công nghệ thường xuyên.Có khả năng sử dụng tiếng Anh (nghe, nói, đọc, viết) thành thạo hoặc IELTS từ 6.5.Trong trường hợp trúng tuyển, sau thời gian hoàn thành đào tạo cần cam kết thời gian công tác tối thiểu 2 năm tại Ngân hàng theo lộ trình phát triển."
Họa Viên Kiến Trúc/Kết Cấu Không Yêu Cầu Kinh Nghiệm (Fresher),https://www.topcv.vn/viec-lam/hoa-vien-kien-truc-ket-cau-khong-yeu-cau-kinh-nghiem-fresher/1287148.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH MITEK VIỆT NAM,7 - 10 triệu,Hồ Chí Minh,Thực tập sinh,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"• Bạn đã tốt nghiệp từ các ngành kỹ thuật như Môi trường, Cơ khí, Địa chất, Công nghệ sinh học, Điện điện tử, Hóa học, Khối ngành Xây dựng, Kiến Trúc, vv ...
• Chúng tôi chào đón các ứng viên chưa có kinh nghiệm làm việc.
• Có kiến thức cơ bản về phần mềm thiết kế (Auto CAD) là một điểm cộng
• Hiểu biết về tính dự toán và bốc tách khối lượng, hình tượng 3D – vẽ được các hình chiếu bằng, đứng, cạnh.
• Khả năng đọc hiểu bản vẽ xây dựng.
• Có khả năng giao tiếp và sử dụng Tiếng Anh trong môi trường làm việc.
• Có tinh thần trách nhiệm trong công việc.
• Khả năng làm việc nhóm"
