Title,Link,Company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
Nhân Viên IT Phần Mềm Tại Bắc Ninh,https://www.topcv.vn/viec-lam/nhan-vien-it-phan-mem-tai-bac-ninh/877681.html?ta_source=ITJobs_LinkDetail,Công ty TNHH MPT Solution (Việt Nam),Thoả thuận,Bắc Ninh,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"1). Tốt nghiệp Cao đẳng trở lên các chuyên ngành công nghệ thông tin, công nghệ phần mềm.
2). Thành thạo các ngôn ngữ lập trình : C#, Java , Javascript , Dotnet...
3). Có hiểu biết về SQLSERVER、MYSQL, Oracle. Hiểu biết Oracle là một lợi thế
4) Tiếng Trung thành thạo"
Nhân Viên IT Hệ Thống (Thu Nhập 18 - 25 Triệu + Hỗ Trợ Ăn Trưa),https://www.topcv.vn/viec-lam/nhan-vien-it-he-thong-thu-nhap-18-25-trieu-ho-tro-an-trua/1280663.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN TOMECO AN KHANG,18 - 25 triệu,Hà Nội,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,"- Đại học chuyên ngành liên quan: công nghệ thông tin
- Có kiến thức về Công nghệ thông tin, máy văn phòng.
- Am hiểu về hệ thống mạng Lan, Wan, internet;
- Am hiểu về hệ điều hành Windows Server/Linux, ...;
- Am hiểu quản trị cơ sở dữ liệu SQL Server;
- Am hiểu hệ thống bảo mật: DLP; network security;
- Nắm vững các quy định về bảo mật thông tin;
- Quản lý các thiết bị công nghệ thông tin và công nghệ của công ty;"
"Data Scientist - Up To $2,500 Per Month Tại Hà Nội",https://www.topcv.vn/viec-lam/data-scientist-up-to-2-500-per-month-tai-ha-noi/1274624.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ALETECH,"Trên 2,500 USD",Hà Nội,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,"1. Educational Background: - Bachelor's or Master’s degree in Computer Science, Data Science, or a related field.2. Experience: - Minimum of 5 years of experience in data management, analytics, and visualization. - Demonstrated success in implementing data strategies within a business context.3. Technical Skills: - Proficiency in data analysis tools such as Python. - Familiarity with SQL Server, Azure Blob Storage, and other relevant data storage technologies. - Strong expertise in data visualization tools (e.g., Tableau, Power BI).4. Statistical Modeling and Machine Learning: - Profound understanding of statistical modeling and machine learning techniques. - Ability to apply advanced analytics to tackle complex business challenges.5. Language Proficiency: - Exceptional English language skills, both written and verbal. - Capacity to communicate technical concepts effectively to non-technical stakeholders.6. Leadership and Collaboration: - Proven leadership and team management capabilities. - Effective collaboration with cross-functional teams and outstanding interpersonal skills.7. Analytical Thinking: - Strong analytical and problem-solving skills, with meticulous attention to detail. - Ability to translate complex data into actionable insights.8. Innovation and Continuous Learning: - Commitment to staying abreast of industry trends and emerging technologies. - Track record of driving innovation in data management practices."
Chuyên Viên Digital Marketing Executive - Đi Làm Ngay,https://www.topcv.vn/viec-lam/chuyen-vien-digital-marketing-executive-di-lam-ngay/1280870.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH DƯỢC PHẨM PRO CUỘC SỐNG XANH,Trên 10 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp Đại học chuyên ngành marketing hoặc liên quan. Ưu tiên ứng viên nam.
- Kinh nghiệm từ 2 năm ở vị trí Digital Marketing là một lợi thế.
- Am hiểu về các công cụ Digital Marketing và sử dụng thành thạo, edit video để chạy quảng cáo/ thiết kế hình ảnh cơ bản
- Có khả năng xây dựng chiến lược marketing và làm việc theo chỉ tiêu kế hoạch, tinh thần trách nhiệm cao, đúng tiến độ.
- Kỹ năng viết và giao tiếp tốt.
- Thái độ tích cực và suy nghĩ lạc quan trong công việc.
- Ưu tiên ứng viên có khả năng quay dựng chụp hình và thiết kế cơ bản."
Nhân Viên Xử Lý Dữ Liệu Tiếng Nhật (Tiếng Nhật N3),https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-du-lieu-tieng-nhat-tieng-nhat-n3/1286664.html?ta_source=ITJobs_LinkDetail,CHI NHÁNH CÔNG TY TNHH PASONA TECH VIỆT NAM TẠI HÀ NỘI,Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học, cao đẳng.
- Tiếng Nhật tương đương N3.
- Thành thạo tin học văn phòng, đặc biệt là Excel, Word.
- Có khả năng giao tiếp tốt, nhanh nhẹn, chăm chỉ và ham học hỏi.
- Yêu thích làm việc trong môi trường công ty Nhật Bản."
"Front-End Developers Thu Nhập Upto 2,600USD",https://www.topcv.vn/viec-lam/front-end-developers-thu-nhap-upto-2-600usd/1197636.html?ta_source=ITJobs_LinkDetail,GEM MULTIMEDIA SDN. BHD,"2,500 - 2,600 USD",Nước Ngoài,Trưởng nhóm,3 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp Đại học CNTT hoặc tương đương.- Có 03 năm kinh nghiệm lập trình Front - End.- Có kiến thức vững về HTML, CSS, JavaScript.- Sử dụng thành thạo Bootstrap, HTML5, CSS3, SCSS.- Nắm vững các thư viện như jQuery, LESS của Javascript.- Sử dụng thành thạo các framework của Javascript hiện nay như AngularJS, Backbone, Ember, ReactJS...- Có kiến thức về UX/UI, Responsive Design và thiết kế Mobile.- Có kinh nghiệm về xử lý Realtime, Client-Server (API, Socket).- Biết sử dụng các phần mềm đồ họa như Photoshop, AI.- Có kinh nghiệm làm việc API (sử dụng REST/SOAP, Microservices, ESB, SOA, GraphQL, Sockets, ...)- Có kinh nghiệm sử dụng các công cụ phát triển phần mềm (ví dụ: Git, Jenkins, JIRA)- Có kinh nghiệm phát triển ứng dụng web sử dụng NodeJS, AngularJS, Python, Java, A- Có tư duy lập trình tốt, có khả năng làm việc nhóm và độc lập, cẩn thận và sáng tạo.- Có khả năng tự nghiên cứu về công nghệ mới.- Đọc hiểu tài liệu tiếng Anh."
CTV Vận Hành Lớp Học Trực Tuyến Part Time,https://www.topcv.vn/viec-lam/ctv-van-hanh-lop-hoc-truc-tuyen-part-time/1276247.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH PHÁT TRIỂN GIẢI PHÁP & CNTT DIỆP ANH,2.5 - 6 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Bán thời gian,Không yêu cầu,"Độ tuổi: 18 - 21 tuổiCó kinh nghiệm và kỹ năng sử dụng các công cụ Microsoft OfficeCó kỹ năng sử dụng các phần mềm điều khiển máy tính từ xa : teamviewer, ultraviewer, anydesk...Chưa có kinh nghiệm sẽ được công ty đào tạo từ đầu.Có laptop cá nhân để phục vụ cho công việc.Có kinh nghiệm hoạt động đội nhóm."
Trưởng Phòng Giải Pháp Tại Hà Nội Thu Nhập 30M-40M,https://www.topcv.vn/viec-lam/truong-phong-giai-phap-tai-ha-noi-thu-nhap-30m-40m/1013348.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần Ecoit,30 - 40 triệu,Hà Nội,Trưởng/Phó phòng,5 năm,Toàn thời gian,Không yêu cầu,"– Tốt nghiệp Đại Học trở lên chuyên ngành CNTT, tin học ứng dụng, điện tử viễn thông hoặc tương đương. – Am hiểu rõ các vấn đề pháp lý liên quan đến đấu thầu. – Có chứng chỉ về quản lý dự án là một lợi thế. – Có tối thiểu từ 03 năm kinh nghiệm làm việc trong các dự án CNTT, ĐẶC BIỆT là các dự án đầu tư công. – Có kinh nghiệm trong việc lập Báo cáo nghiên cứu khả thi, Thiết kế thi công tổng dự toán, Đề cương và Dự toán chi tiết... và các hồ sơ liên quan trong các dự án CNTT. – Nắm vững các giải pháp ứng dụng CNTT, giải pháp chuyển đổi số doanh nghiệp. (Hệ thống quản lý văn bản điều hành, Hệ thống thông tin nội bộ, Cổng TTĐT, giải pháp số hóa tài liệu, giải pháp kho lưu trữ số...) – Nắm vững cơ sở pháp lý và các thủ tục tham gia đấu thầu. – Có tinh thần học hỏi, có khả năng xây dựng/ thiết lập và duy trì các mối quan hệ với đối tác/ khách hàng; – Thành thạo giao tiếp, đàm phán, phân tích dữ liệu. – Có khả năng làm việc độc lập và làm việc nhóm.- Trình độ tin học: Thành thạo các kỹ năng vi tính văn phòng (MS. Word, Excel, PowerPoint, Outlook, Internet Explorer); Biết sử dụng Project Manager, Mindjet Mind manager là điểm cộng."
Unity Developer - Lương Từ 12 - 30 Triệu - Được Chia Sẻ Doanh Thu Của Các Dự Án,https://www.topcv.vn/viec-lam/unity-developer-luong-tu-12-30-trieu-duoc-chia-se-doanh-thu-cua-cac-du-an/1272229.html?ta_source=ITJobs_LinkDetail,Công ty TNHH NGen,12 - 30 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Có tối thiểu 1 năm kinh nghiệm phát triển game trên nền tảng UnityTốt nghiệp trường đại học Bách Khoa Hà NộiĐam mê làm các sản phẩm gameNăng động, ham học hỏi."
Tester Nữ (Có Kinh Nghiệm) - Tại Hà Nội,https://www.topcv.vn/viec-lam/tester-nu-co-kinh-nghiem-tai-ha-noi/1261111.html?ta_source=ITJobs_LinkDetail,MochiMochi,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Nữ,Đã có tối thiểu 1 năm kinh nghiệm trong các công việc tương tự Kỹ năng đọc hiểu tiếng Anh cơ bảnCởi mở và sẵn sàng học hỏiGửi kèm manual/automation testcase về UI/UX/Api/DB đã từng thực hiện trong CV ứng tuyển
